load_file,dataset,corruption_name,corruption_severity,Method,BNN,use_pretrained,Tune_last_layer_only,augment_test,seed,val_loss,val_accuracy,base_aic0,base_aic1,base_aic2,up0,up1,up2,elbo,ece
../../../saved_checkpoint/cifar10/cifar10_random_1.model,cifar10c,gaussian_noise,5,random,FALSE,FALSE,FALSE,FALSE,0,5.078977254,19.84,21.85,21.32,21.09,3.57,2.62,2.21,0,0.665323615
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,snow,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.543051959,84.13,85.01,84.82,84.73,2.3,1.65,1.38,0,0.070051476
../../../saved_checkpoint/cifar10/cifar10_random_2.model,cifar10c,gaussian_noise,1,random,FALSE,FALSE,FALSE,FALSE,0,0.998266747,72.01,73.59,73.14,73.02,4.22,3.23,2.61,0,0.136993483
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,snow,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.114998799,71.08,72.56,72.16,71.98,4.1,2.96,2.48,0,0.153809607
../../../saved_checkpoint/cifar10/cifar10_random_2.model,cifar10c,gaussian_noise,2,random,FALSE,FALSE,FALSE,FALSE,0,2.132170376,51.26,52.81,52.58,52.41,5.15,3.8,3.15,0,0.317253292
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,snow,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.885654374,75.47,76.52,76.28,76.03,3.49,2.55,2.04,0,0.12319009
../../../saved_checkpoint/cifar10/cifar10_random_2.model,cifar10c,gaussian_noise,3,random,FALSE,FALSE,FALSE,FALSE,0,3.408849031,35.02,36.95,36.37,36.06,4.83,3.43,2.82,0,0.489296675
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,snow,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.991181416,72.75,73.98,73.69,73.5,3.75,2.7,2.25,0,0.138048619
../../../saved_checkpoint/cifar10/cifar10_random_2.model,cifar10c,gaussian_noise,4,random,FALSE,FALSE,FALSE,FALSE,0,3.938858353,29.34,31.72,31.27,30.86,4.94,3.69,3.04,0,0.551189482
../../../saved_checkpoint/cifar10/cifar10_random_2.model,cifar10c,gaussian_noise,5,random,FALSE,FALSE,FALSE,FALSE,0,4.391502958,24.67,26.45,25.95,25.78,4.04,3.06,2.47,0,0.607849002
../../../saved_checkpoint/cifar10/cifar10_random_3.model,cifar10c,gaussian_noise,1,random,FALSE,FALSE,FALSE,FALSE,0,0.934459541,74.15,75.43,75.19,75.09,3.72,2.64,2.24,0,0.127098575
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,frost,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.5182297,84.75,85.01,84.96,85.01,2.48,1.87,1.56,0,0.064464532
../../../saved_checkpoint/cifar10/cifar10_random_1.model,cifar10c,snow,1,random,FALSE,FALSE,FALSE,FALSE,0,0.571002749,83.24,83.56,83.44,83.47,2.36,1.7,1.35,0,0.075209454
